ID,source,source_language,target,target_language,x-context-pre,x-context-post
585,"Mobile health apps, for example, are becoming increasingly popular as a result of the growing interest in quick access to personal health information in this impatient 21<bpt i='1' type='super'>{}</bpt>st<ept i='1'>{}</ept>-century society in which we live.",en,"Por ejemplo, las aplicaciones móviles de salud están ganando popularidad: empujados por la impaciencia que caracteriza a la sociedad moderna en que vivimos, cada vez nos interesa más poder acceder rápidamente a nuestros datos de salud.",es,"<seg>Besides medical facilities, technology is bringing people closer to medicine.</seg>","<seg>Nonetheless, these global advances themselves also face a challenge, as any new implementation has to undergo strict regulations set by each government or institution.</seg>"
586,"Nonetheless, these global advances themselves also face a challenge, as any new implementation has to undergo strict regulations set by each government or institution.",en,"Sin embargo, todos estos progresos también tienen obstáculos que franquear: como cualquier implementación nueva, deben someterse a las estrictas normativas que imponen los gobiernos o las instituciones de cada país.",es,"<seg>Mobile health apps, for example, are becoming increasingly popular as a result of the growing interest in quick access to personal health information in this impatient 21<bpt i='1' type='super'>{}</bpt>st<ept i='1'>{}</ept>-century society in which we live.</seg>","<seg><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>As well as thoroughly validated specifications, a<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt>ccurate translation is <ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='3'>&lt;rpr id=&quot;4&quot;&gt;</bpt>vital<ept i='3'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='4'>&lt;rpr id=&quot;3&quot;&gt;</bpt> to ensure that everybody, health professional or not, has access to the <ept i='4'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='5'>&lt;rpr id=&quot;4&quot;&gt;</bpt>correct <ept i='5'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;3&quot;&gt;</it>medical information in their own language.</seg>"
587,"<bpt i='1'><rpr id=&quot;4&quot;></bpt>As well as thoroughly validated specifications, a<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt>ccurate translation is <ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='3'><rpr id=&quot;4&quot;></bpt>vital<ept i='3'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='4'><rpr id=&quot;3&quot;></bpt> to ensure that everybody, health professional or not, has access to the <ept i='4'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='5'><rpr id=&quot;4&quot;></bpt>correct <ept i='5'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;3&quot;></it>medical information in their own language.",en,"<bpt i='1'><rpr id=&quot;4&quot;></bpt>El desarrollo de un nuevo producto tecnológico requiere una revisión exhaustiva de sus especificacione<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt>s y, <ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='3'><rpr id=&quot;4&quot;></bpt>sobre todo<ept i='3'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='4'><rpr id=&quot;3&quot;></bpt>, una traducción precisa que permita que cualquier persona, tanto si se trata de un profesional sanitario como si no, tenga acceso a la información médica <ept i='4'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='5'><rpr id=&quot;4&quot;></bpt>correcta <ept i='5'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;3&quot;></it>en su idioma.",es,"<seg>Nonetheless, these global advances themselves also face a challenge, as any new implementation has to undergo strict regulations set by each government or institution.</seg>","<seg>For a life sciences translation team, biotech expertise and a medical background are critical requirements<it pos='end'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</it><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>,<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt> as the impact of a poor translation can be greater than in any other <ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='3'>&lt;rpr id=&quot;4&quot;&gt;</bpt>field<ept i='3'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;3&quot;&gt;</it>.</seg>"
588,"For a life sciences translation team, biotech expertise and a medical background are critical requirements<it pos='end'></rpr id=&quot;3&quot; transform=&quot;close&quot;></it><bpt i='1'><rpr id=&quot;4&quot;></bpt>,<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt> as the impact of a poor translation can be greater than in any other <ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='3'><rpr id=&quot;4&quot;></bpt>field<ept i='3'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;3&quot;></it>.",en,"Para que un traductor pueda incorporarse a un equipo de traducción especializada en ciencias de la salud, es imprescindible que tenga conocimientos avanzados en biotecnología y un perfil médico<it pos='end'></rpr id=&quot;3&quot; transform=&quot;close&quot;></it><bpt i='1'><rpr id=&quot;4&quot;></bpt>,<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt> ya que las consecuencias de una mala traducción en este campo pueden ser mucho más graves que en <ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='3'><rpr id=&quot;4&quot;></bpt>cualquier otro<ept i='3'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;3&quot;></it>.",es,"<seg><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>As well as thoroughly validated specifications, a<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt>ccurate translation is <ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='3'>&lt;rpr id=&quot;4&quot;&gt;</bpt>vital<ept i='3'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='4'>&lt;rpr id=&quot;3&quot;&gt;</bpt> to ensure that everybody, health professional or not, has access to the <ept i='4'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='5'>&lt;rpr id=&quot;4&quot;&gt;</bpt>correct <ept i='5'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;3&quot;&gt;</it>medical information in their own language.</seg>","<seg>For that reason, translation quality <it pos='end'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</it><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>credentials<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt> are extremely important in this industry.<ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept></seg>"
589,"For that reason, translation quality <it pos='end'></rpr id=&quot;3&quot; transform=&quot;close&quot;></it><bpt i='1'><rpr id=&quot;4&quot;></bpt>credentials<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt> are extremely important in this industry.<ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept>",en,"Por ello, es muy importante que los traductores del sector de las ciencias de la salud dispongan de <it pos='end'></rpr id=&quot;3&quot; transform=&quot;close&quot;></it><bpt i='1'><rpr id=&quot;4&quot;></bpt>certificaciones<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;3&quot;></bpt> de calidad de traducción.<ept i='2'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept>",es,"<seg>For a life sciences translation team, biotech expertise and a medical background are critical requirements<it pos='end'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</it><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>,<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt> as the impact of a poor translation can be greater than in any other <ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='3'>&lt;rpr id=&quot;4&quot;&gt;</bpt>field<ept i='3'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;3&quot;&gt;</it>.</seg>","<seg>To be a reliable specialized life sciences translation partner, not only the  experience is a must, but also  the relevant quality certifications. iDISC matches this profile.</seg>"
590,"To be a reliable specialized life sciences translation partner, not only the  experience is a must, but also  the relevant quality certifications. iDISC matches this profile.",en,Para ser un partner de confianza de traducción especializada en ciencias de la salud no basta con tener experiencia; hay que disponer de las certificaciones de calidad pertinentes. iDISC encaja en este perfil.,es,"<seg>For that reason, translation quality <it pos='end'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</it><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>credentials<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;3&quot;&gt;</bpt> are extremely important in this industry.<ept i='2'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept></seg>","<seg>Our specialized team of translators, subject matter experts and project managers has been helping companies to:</seg>"
591,"Our specialized team of translators, subject matter experts and project managers has been helping companies to:",en,"Nuestro equipo especializado de traductores, de expertos en la materia y de gestores de proyectos ha ayudado a las empresas a:",es,"<seg>To be a reliable specialized life sciences translation partner, not only the  experience is a must, but also  the relevant quality certifications. iDISC matches this profile.</seg>",<seg><bpt i='1'>&lt;rpr id=&quot;3&quot;&gt;</bpt>Ensure translation quality standards by following <ept i='1'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;4&quot;&gt;</bpt>the ISO 9001 &amp; ISO 17100 certified processes<ept i='2'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept></seg>
592,"Leading companies in medical devices, clinical trials, biotechnology, pharmaceuticals and drug labelling, among others, are already benefiting from our services.",en,"Muchas empresas líderes en dispositivos médicos, ensayos clínicos, biotecnología, productos farmacéuticos y etiquetado de medicamentos, entre otras especialidades, ya se están beneficiando de nuestros servicios.",es,<seg>Decrease the total cost by recycling previously translated content</seg>,<seg>Lean in and join us!</seg>
593,<bpt i='1'><rpr id=&quot;3&quot;></bpt>Ensure translation quality standards by following <ept i='1'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;4&quot;></bpt>the ISO 9001 & ISO 17100 certified processes<ept i='2'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept>,en,"<bpt i='1'><rpr id=&quot;3&quot;></bpt>Garantizar el cumplimiento de unos estándares de calidad de traducción, ya que seguimos los <ept i='1'></rpr id=&quot;3&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;4&quot;></bpt>procesos certificados por las normas ISO 9001 e ISO 17100<ept i='2'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept>",es,"<seg>Our specialized team of translators, subject matter experts and project managers has been helping companies to:</seg>","<seg>Increase international sales by making content local, in every market</seg>"
594,"Increase international sales by making content local, in every market",en,Aumentar el volumen de ventas en todo el mundo traduciendo y adaptando su contenido para cada mercado,es,<seg><bpt i='1'>&lt;rpr id=&quot;3&quot;&gt;</bpt>Ensure translation quality standards by following <ept i='1'>&lt;/rpr id=&quot;3&quot; transform=&quot;close&quot;&gt;</ept><bpt i='2'>&lt;rpr id=&quot;4&quot;&gt;</bpt>the ISO 9001 &amp; ISO 17100 certified processes<ept i='2'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg>Reduce risks by leveraging years of experience in the life sciences industry and making the most of dedicated expert translation teams</seg>
595,Reduce risks by leveraging years of experience in the life sciences industry and making the most of dedicated expert translation teams,en,Minimizar los riesgos gracias a los años de experiencia que tenemos en el sector de las ciencias de la salud y optimizando las capacidades de nuestros equipos de traducción expertos,es,"<seg>Increase international sales by making content local, in every market</seg>",<seg>Decrease the total cost by recycling previously translated content</seg>
596,Decrease the total cost by recycling previously translated content,en,Disminuir el coste total reciclando el contenido traducido anteriormente,es,<seg>Reduce risks by leveraging years of experience in the life sciences industry and making the most of dedicated expert translation teams</seg>,"<seg>Leading companies in medical devices, clinical trials, biotechnology, pharmaceuticals and drug labelling, among others, are already benefiting from our services.</seg>"
597,Lean in and join us!,en,"Adelante, contacta con nosotros. ¡Nos encantará ayudarte!",es,"<seg>Leading companies in medical devices, clinical trials, biotechnology, pharmaceuticals and drug labelling, among others, are already benefiting from our services.</seg>",<seg>Call-to-Action button</seg>
598,<bpt i='1' type='bold'>{}</bpt>Automotive-Specialized Translation Services<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Servicios de traducción especializada en automoción<ept i='1'>{}</ept>,es,,<seg><bpt i='1' type='italic'>{}</bpt>“<ept i='1'>{}</ept><bpt i='2'>&lt;rpr id=&quot;2&quot;&gt;</bpt>Quality means doing it right when no one is looking<bpt i='3' type='italic'>{}</bpt><ept i='2'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept>.”<ept i='3'>{}</ept></seg>
599,<bpt i='1' type='italic'>{}</bpt>“<ept i='1'>{}</ept><bpt i='2'><rpr id=&quot;2&quot;></bpt>Quality means doing it right when no one is looking<ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept><bpt i='3' type='italic'>{}</bpt>.”<ept i='3'>{}</ept>,en,"<bpt i='1' type='italic'>{}</bpt>""<ept i='1'>{}</ept><bpt i='2'><rpr id=&quot;2&quot;></bpt>Calidad significa hacer las cosas bien cuando nadie te está mirando<ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept><bpt i='3' type='italic'>{}</bpt>"".<ept i='3'>{}</ept>",es,<seg><bpt i='1' type='bold'>{}</bpt>Automotive-Specialized Translation Services<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='italic'>{}</bpt>Henry Ford<ept i='1'>{}</ept></seg>
600,Electric cars are the future.,en,"Los coches eléctricos son el futuro,",es,<seg><bpt i='1' type='italic'>{}</bpt>Henry Ford<ept i='1'>{}</ept></seg>,<seg>It is widely accepted.</seg>
601,It is widely accepted.,en,es prácticamente un hecho.,es,<seg>Electric cars are the future.</seg>,"<seg>In fact, McKinsey predicts that 50% of new cars will be electrified vehicles by 2030.</seg>"
602,"In fact, McKinsey predicts that 50% of new cars will be electrified vehicles by 2030.",en,"La consultora McKinsey calcula que, en el 2030, el 50 % de los coches nuevos serán vehículos electrificados.",es,<seg>It is widely accepted.</seg>,"<seg>Together with the introduction of autonomous cars, increased connectivity through 5G and IoT, and car sharing, they represent the most important innovations foreseen in the automotive industry over the coming decade.</seg>"
603,<bpt i='1' type='italic'>{}</bpt>Henry Ford<ept i='1'>{}</ept>,en,<bpt i='1' type='italic'>{}</bpt>Henry Ford<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='italic'>{}</bpt>“<ept i='1'>{}</ept><bpt i='2'>&lt;rpr id=&quot;2&quot;&gt;</bpt>Quality means doing it right when no one is looking<bpt i='3' type='italic'>{}</bpt><ept i='2'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept>.”<ept i='3'>{}</ept></seg>,<seg>Electric cars are the future.</seg>
604,"Together with the introduction of autonomous cars, increased connectivity through 5G and IoT, and car sharing, they represent the most important innovations foreseen in the automotive industry over the coming decade.",en,"Estos coches, junto con la introducción de los vehículos autónomos, el aumento de la conectividad a través de la 5G y la IdC, y el coche compartido, son la innovación más importante prevista para la próxima década en el sector de la automoción.",es,"<seg>In fact, McKinsey predicts that 50% of new cars will be electrified vehicles by 2030.</seg>","<seg>All these trends will make this industry even more global, and communication even more important.</seg>"
605,"All these trends will make this industry even more global, and communication even more important.",en,Todas estas tendencias acentuarán el carácter global del sector y darán aún más la relevancia a la comunicación.,es,"<seg>Together with the introduction of autonomous cars, increased connectivity through 5G and IoT, and car sharing, they represent the most important innovations foreseen in the automotive industry over the coming decade.</seg>","<seg>In the factory, having a global supply chain requires effective and easy communication among a brand’s international facilities.</seg>"
606,"In the factory, having a global supply chain requires effective and easy communication among a brand’s international facilities.",en,"En fábrica, para tener una cadena de suministros global, las marcas deben procurar que la comunicación entre sus distintos centros internacionales sea fluida y eficaz.",es,"<seg>All these trends will make this industry even more global, and communication even more important.</seg>","<seg>On the road, users expect a new car to literally talk to them, through internal software systems that are becoming fully interactive and more complex by the day.</seg>"
607,"On the road, users expect a new car to literally talk to them, through internal software systems that are becoming fully interactive and more complex by the day.",en,"En la calle, los usuarios quieren coches nuevos que hablen a través de sistemas de software internos cada vez más interactivos y avanzados.",es,"<seg>In the factory, having a global supply chain requires effective and easy communication among a brand’s international facilities.</seg>",<seg>Translation is crucial to reach and accelerate this development.</seg>
608,Translation is crucial to reach and accelerate this development.,en,La traducción es clave para lograr y acelerar este desarrollo.,es,"<seg>On the road, users expect a new car to literally talk to them, through internal software systems that are becoming fully interactive and more complex by the day.</seg>","<seg>Today, any specialized translation team for the automotive industry needs more than a mechanics background.</seg>"
609,"Today, any specialized translation team for the automotive industry needs more than a mechanics background.",en,"En la actualidad, los equipos de traducción especializados en el sector de la automoción no solo deben tener conocimientos de mecánica.",es,<seg>Translation is crucial to reach and accelerate this development.</seg>,"<seg>This may be enough to translate workshop manuals or user guides, but not to understand the newest technology breakthroughs, and to grasp the unique spirit of each badge.</seg>"
610,"This may be enough to translate workshop manuals or user guides, but not to understand the newest technology breakthroughs, and to grasp the unique spirit of each badge.",en,"Esto tal vez sea suficiente para traducir manuales de taller o guías de usuario, pero no para entender los últimos avances tecnológicos y captar la esencia única de cada emblema.",es,"<seg>Today, any specialized translation team for the automotive industry needs more than a mechanics background.</seg>","<seg>Having a specialized translation partner who understands the complexity of your technology and respects the SAE standards is crucial for the success of your brand. iDISC, with decades of experience in the automotive sector, is the perfect choice.</seg>"
611,"Having a specialized translation partner who understands the complexity of your technology and respects the SAE standards is crucial for the success of your brand. iDISC, with decades of experience in the automotive sector, is the perfect choice.",en,"Contar con un partner de traducción especializado que entienda la complejidad de tu tecnología y siga los estándares SAE es crucial para el éxito de tu marca. iDISC, con varias décadas de experiencia en el sector de la automoción, es el colaborador perfecto.",es,"<seg>This may be enough to translate workshop manuals or user guides, but not to understand the newest technology breakthroughs, and to grasp the unique spirit of each badge.</seg>","<seg>Our specialized team of translators, subject matter experts and project managers has been helping companies to:</seg>"
612,"Our specialized team of translators, subject matter experts and project managers has been helping companies to:",en,"Nuestro equipo especializado de traductores, de expertos en la materia y de gestores de proyectos ha ayudado a las empresas a:",es,"<seg>Having a specialized translation partner who understands the complexity of your technology and respects the SAE standards is crucial for the success of your brand. iDISC, with decades of experience in the automotive sector, is the perfect choice.</seg>","<seg>Increase international sales by making content local, in every market</seg>"
613,"Increase international sales by making content local, in every market",en,Aumentar el volumen de ventas en todo el mundo traduciendo y adaptando su contenido para cada mercado,es,"<seg>Our specialized team of translators, subject matter experts and project managers has been helping companies to:</seg>",<seg>Ensure translation quality standards by following the ISO 9001 &amp; ISO 17100 certified processes</seg>
614,Ensure translation quality standards by following the ISO 9001 & ISO 17100 certified processes,en,"Garantizar el cumplimiento de unos estándares de calidad de traducción, ya que seguimos los procesos certificados por las normas ISO 9001 e ISO 17100",es,"<seg>Increase international sales by making content local, in every market</seg>",<seg>Reduce risks by leveraging years of experience in the automotive industry and making the most of dedicated expert translation teams</seg>
615,Reduce risks by leveraging years of experience in the automotive industry and making the most of dedicated expert translation teams,en,Minimizar los riesgos gracias a los años de experiencia que tenemos en el sector de la automoción y optimizando las capacidades de nuestros equipos de traducción expertos,es,<seg>Ensure translation quality standards by following the ISO 9001 &amp; ISO 17100 certified processes</seg>,<seg>Decrease the total cost by recycling previously translated content</seg>
616,Decrease the total cost by recycling previously translated content,en,Disminuir el coste total reciclando el contenido traducido anteriormente,es,<seg>Reduce risks by leveraging years of experience in the automotive industry and making the most of dedicated expert translation teams</seg>,<seg><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>Many of the<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;5&quot;&gt;</it> world’s iconic automotive brands are already benefiting from our services on a daily basis.</seg>
617,<bpt i='1'><rpr id=&quot;4&quot;></bpt>Many of the<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;5&quot;></it> world’s iconic automotive brands are already benefiting from our services on a daily basis.,en,<bpt i='1'><rpr id=&quot;4&quot;></bpt>Muchas<ept i='1'></rpr id=&quot;4&quot; transform=&quot;close&quot;></ept><it pos='begin'><rpr id=&quot;5&quot;></it> empresas de referencia del sector de la automoción ya se están beneficiando de nuestros servicios cada día.,es,<seg>Decrease the total cost by recycling previously translated content</seg>,<seg>Lean in and join us!<it pos='end'>&lt;/rpr id=&quot;5&quot; transform=&quot;close&quot;&gt;</it></seg>
618,Lean in and join us!<it pos='end'></rpr id=&quot;5&quot; transform=&quot;close&quot;></it>,en,"Adelante, contacta con nosotros. ¡Nos encantará ayudarte!<it pos='end'></rpr id=&quot;5&quot; transform=&quot;close&quot;></it>",es,<seg><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>Many of the<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept><it pos='begin'>&lt;rpr id=&quot;5&quot;&gt;</it> world’s iconic automotive brands are already benefiting from our services on a daily basis.</seg>,<seg>Call-to-Action button</seg>
619,Call-to-Action button,en,Botón de llamada a la acción,es,<seg>Lean in and join us!<it pos='end'>&lt;/rpr id=&quot;5&quot; transform=&quot;close&quot;&gt;</it></seg>,
620,<bpt i='1' type='bold'>{}</bpt>Is translation a priority in a post-COVID-19 world?<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>¿La traducción es prioritaria en un mundo pos-COVID-19?<ept i='1'>{}</ept>,es,,"<seg>In some aspects, the world has changed more in recent months than it ever did in the last few decades.</seg>"
621,"In some aspects, the world has changed more in recent months than it ever did in the last few decades.",en,"En ciertos aspectos, el mundo ha cambiado mucho más en los últimos meses que en las últimas décadas.",es,<seg><bpt i='1' type='bold'>{}</bpt>Is translation a priority in a post-COVID-19 world?<ept i='1'>{}</ept></seg>,"<seg>We didn’t see it coming, as is usually the case with the truly important things in life.</seg>"
622,"We didn’t see it coming, as is usually the case with the truly important things in life.",en,"No lo vimos venir, como suele ocurrir con las cosas realmente importantes de la vida.",es,"<seg>In some aspects, the world has changed more in recent months than it ever did in the last few decades.</seg>","<seg>With the current scenario, companies are meticulously reviewing their budgets to reorganize priorities and establish a new strategy to overcome this crisis.</seg>"
623,"With the current scenario, companies are meticulously reviewing their budgets to reorganize priorities and establish a new strategy to overcome this crisis.",en,"Ante el panorama actual, las empresas están revisando minuciosamente su presupuesto a fin de reconsiderar sus prioridades y desarrollar nuevas estrategias para superar esta crisis.",es,"<seg>We didn’t see it coming, as is usually the case with the truly important things in life.</seg>",<seg>One of the usual points on the table is whether translation should be a priority or not.</seg>
624,One of the usual points on the table is whether translation should be a priority or not.,en,Uno de los temas habituales que se ponen sobre la mesa es si la traducción debe ser una prioridad o no.,es,"<seg>With the current scenario, companies are meticulously reviewing their budgets to reorganize priorities and establish a new strategy to overcome this crisis.</seg>",<seg>Is it really a priority to translate or keep translating content now that globalization seems to be slowing down?</seg>
625,<bpt i='1' type='bold'>{}</bpt>Business sense says yes.<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>El instinto empresarial nos dice que sí.<ept i='1'>{}</ept>,es,<seg>Is it worth the money?</seg>,<seg><bpt i='1' type='bold'>{}</bpt>Let’s see why.<ept i='1'>{}</ept></seg>
626,<bpt i='1' type='bold'>{}</bpt>Let’s see why.<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Veamos los motivos.<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Business sense says yes.<ept i='1'>{}</ept></seg>,<seg>One of the biggest challenges companies have to face in this crisis is to move their activity online as much as possible.</seg>
627,Is it really a priority to translate or keep translating content now that globalization seems to be slowing down?,en,¿Es realmente prioritario traducir o seguir traduciendo contenido ahora que el ritmo de la globalización está aflojando?,es,<seg>One of the usual points on the table is whether translation should be a priority or not.</seg>,<seg>Is it worth the money?</seg>
628,Is it worth the money?,en,¿Merece la pena invertir este dinero?,es,<seg>Is it really a priority to translate or keep translating content now that globalization seems to be slowing down?</seg>,<seg><bpt i='1' type='bold'>{}</bpt>Business sense says yes.<ept i='1'>{}</ept></seg>
629,One of the biggest challenges companies have to face in this crisis is to move their activity online as much as possible.,en,Uno de los mayores retos a los que se enfrentan las empresas ante esta crisis es trasladar su actividad a la nube en la mayor medida posible.,es,<seg><bpt i='1' type='bold'>{}</bpt>Let’s see why.<ept i='1'>{}</ept></seg>,"<seg>On the one hand, with the lockdown, the initial priority was to protect employees.</seg>"
630,"On the one hand, with the lockdown, the initial priority was to protect employees.",en,"Por un lado, con el confinamiento, la prioridad inicial era proteger a los empleados.",es,<seg>One of the biggest challenges companies have to face in this crisis is to move their activity online as much as possible.</seg>,<seg>Telecommuting and video conferences became a reality in most companies.</seg>
631,Telecommuting and video conferences became a reality in most companies.,en,"En este sentido, la mayoría de las empresas recurrieron a las videoconferencias y al teletrabajo.",es,"<seg>On the one hand, with the lockdown, the initial priority was to protect employees.</seg>","<seg>On the other hand, with tradeshows and events going digital, a company’s online presence is now more important than ever to grow its brand and, ultimately, its business.</seg>"
632,"On the other hand, with tradeshows and events going digital, a company’s online presence is now more important than ever to grow its brand and, ultimately, its business.",en,"Por otro lado, ahora que los eventos y las ferias comerciales han pasado al ámbito digital, la presencia en línea de una empresa es más importante que nunca para conseguir que crezca la marca y, en última instancia, se expanda el negocio.",es,<seg>Telecommuting and video conferences became a reality in most companies.</seg>,<seg>This trend is here to stay.</seg>
633,This trend is here to stay.,en,Esta tendencia ha llegado para quedarse.,es,"<seg>On the other hand, with tradeshows and events going digital, a company’s online presence is now more important than ever to grow its brand and, ultimately, its business.</seg>",<seg><bpt i='1' type='bold'>{}</bpt>Website:<ept i='1'>{}</ept></seg>
634,<bpt i='1' type='bold'>{}</bpt>Website:<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>El sitio web<ept i='1'>{}</ept>,es,<seg>This trend is here to stay.</seg>,<seg><bpt i='1' type='bold'>{}</bpt>The key tool<ept i='1'>{}</ept></seg>
635,<bpt i='1' type='bold'>{}</bpt>The key tool<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>como herramienta clave<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Website:<ept i='1'>{}</ept></seg>,"<seg>Even though social media is very important, the key tool for a company’s successful online presence continues to be its website.</seg>"
